1978:10:18_21:07m:13   107  -31   69   20z :   72  -78   75
1978:10:28_21:07m:13   106  -44   75   20z :   70  -76   73
1978:11:07_21:07m:13   107  -46   77   20z :   69  -75   72
1978:11:17_21:07m:13    84  -49   67   20z :   68  -73   71
1978:11:27_21:07m:13    72  -49   61   20z :   67  -72   69
1978:12:07_21:07m:13    65  -64   64   20z :   66  -70   68
1978:12:17_21:07m:13    52  -73   62   20z :   65  -69   67
1978:12:27_21:07m:13    46  -74   60   20z :   64  -68   66
1979:01:06_21:07m:13    42  -95   69   20z :   63  -66   64
1979:01:16_21:07m:13    14 -102   58   20z :   62  -65   63
1979:01:26_21:07m:13    13  -89   51   20z :   60  -63   62
1979:02:05_21:07m:13    10  -88   49   20z :   59  -62   61
1979:02:15_21:07m:13     9  -90   50   20z :   58  -61   59
1979:02:25_21:07m:13    -9  -99   45   20z :   57  -59   58
1979:03:07_21:07m:13    -6  -98   46   20z :   55  -58   57
1979:03:17_21:07m:13    -0 -106   53   20z :   54  -57   56
1979:03:27_21:07m:13    -6 -103   48   20z :   53  -56   54
1979:04:06_21:07m:13    -4  -91   44   20z :   52  -54   53
1979:04:16_21:07m:13    -3  -83   40   20z :   50  -53   52
1979:04:26_21:07m:13    -2  -78   38   20z :   49  -52   50
1979:05:06_21:07m:13    -1  -67   33   20z :   47  -51   49
1979:05:16_21:07m:13    27  -63   45   20z :   46  -50   48
1979:05:26_21:07m:13    37  -64   50   20z :   44  -48   46
1979:06:05_21:07m:13    43  -55   49   20z :   43  -47   45
1979:06:15_21:07m:13    58  -51   54   20z :   41  -46   44
1979:06:25_21:07m:13    77  -47   62   20z :   40  -45   42
1979:07:05_21:07m:13    82  -37   59   20z :   38  -43   41
1979:07:15_21:07m:13    91  -29   60   20z :   36  -42   39
1979:07:25_21:07m:13    99  -15   57   20z :   34  -41   38
1979:08:04_21:07m:13    95  -17   56   20z :   32  -40   36
1979:08:14_21:07m:13    82  -20   51   20z :   30  -38   34
1979:08:24_21:07m:13    70  -21   45   20z :   28  -37   32
1979:09:03_21:07m:13    70   14   28   20z :   26  -36   31
1979:09:13_21:07m:13    66    1   33   20z :   23  -34   29
1979:09:23_21:07m:13    68    1   33   20z :   21  -33   27
1979:10:03_21:07m:13    69  -11   40   20z :   19  -31   25
1979:10:13_21:07m:13    62   11   26   20z :   16  -30   23
1979:10:23_21:07m:13    49    6   21   20z :   13  -28   21
1979:11:02_21:07m:13    43   -2   23   20z :   10  -27   19
1979:11:12_21:07m:13    46   19   13   20z :    8  -25   17
1979:11:22_21:07m:13    18    9    4   20z :    5  -24   14
1979:12:02_21:07m:13    -6    3   -5   20z :    2  -22   12
1979:12:12_21:07m:13   -16   -2   -7   20z :   -1  -21   10
1979:12:22_21:07m:13   -32   -1  -16   20z :   -4  -19    8
1980:01:01_21:07m:13   -34  -17   -8   20z :   -8  -18    5
1980:01:11_21:07m:13   -50  -33   -8   20z :  -11  -16    3
1980:01:21_21:07m:13   -48  -37   -6   20z :  -14  -15    1
1980:01:31_21:07m:13   -49  -42   -3   20z :  -17  -13   -2
1980:02:10_21:07m:13   -36  -50    7   20z :  -20  -12   -4
1980:02:20_21:07m:13   -42  -49    3   20z :  -23  -10   -6
1980:03:01_21:07m:13   -68  -43  -12   20z :  -26   -9   -9
1980:03:11_21:07m:13   -94  -46  -24   20z :  -29   -7  -11
1980:03:21_21:07m:13   -81  -48  -17   20z :  -32   -6  -13
1980:03:31_21:07m:13   -66  -41  -12   20z :  -35   -4  -15
1980:04:10_21:07m:13   -44  -32   -6   20z :  -37   -2  -18
1980:04:20_21:07m:13   -48  -25  -11   20z :  -40   -0  -20
1980:04:30_21:07m:13   -52  -26  -13   20z :  -42    1  -22
1980:05:10_21:07m:13   -61  -26  -18   20z :  -44    3  -24
1980:05:20_21:07m:13   -65  -20  -23   20z :  -46    5  -26
1980:05:30_21:07m:13   -48   -8  -20   20z :  -48    7  -28
1980:06:09_21:07m:13   -41    1  -21   20z :  -50    9  -29
1980:06:19_21:07m:13   -41   12  -26   20z :  -51   11  -31
1980:06:29_21:07m:13   -47   15  -31   20z :  -52   13  -33
1980:07:09_21:07m:13   -27   23  -25   20z :  -54   15  -35
1980:07:19_21:07m:13   -30   33  -32   20z :  -54   18  -36
1980:07:29_21:07m:13   -39   38  -39   20z :  -55   20  -38
1980:08:08_21:07m:13   -28   42  -35   20z :  -56   22  -39
1980:08:18_21:07m:13   -22   43  -32   20z :  -56   24  -40
1980:08:28_21:07m:13   -24   43  -33   20z :  -56   27  -42
1980:09:07_21:07m:13   -48   51  -49   20z :  -56   29  -43
1980:09:17_21:07m:13   -41   57  -49   20z :  -56   31  -44
1980:09:27_21:07m:13   -53   63  -58   20z :  -56   34  -45
1980:10:07_21:07m:13   -57   61  -59   20z :  -56   36  -46
1980:10:17_21:07m:13   -69   51  -60   20z :  -55   38  -47
