Dato (brøkdel), Magnetfeltsstyrke
1976.8360711841206,88.89743589743593
1976.9194045174538,88.41025641025642
1977.002737850787,87.6923076923077
1977.0860711841206,86.8974358974359
1977.1694045174538,86.46153846153847
1977.252737850787,86.35897435897435
1977.3360711841206,86.53846153846153
1977.4194045174538,86.85897435897435
1977.502737850787,87.83653846153847
1977.5860711841206,89.3525641025641
1977.6694045174538,90.32692307692308
1977.752737850787,90.72435897435898
1977.8360711841206,90.59615384615384
1977.9194045174538,89.92948717948717
1978.002737850787,88.9551282051282
1978.0860711841206,87.96794871794873
1978.1694045174538,86.91666666666667
1978.252737850787,85.46794871794872
1978.3360711841206,83.48076923076925
1978.4194045174538,80.87820512820511
1978.502737850787,78.01602564102564
1978.5860711841206,74.53846153846155
1978.6694045174538,70.34615384615385
1978.752737850787,65.97435897435898
1978.8360711841206,61.66666666666667
1978.9194045174538,58.153846153846146
1979.002737850787,55.653846153846146
1979.0860711841206,53.48717948717948
1979.1694045174538,50.666666666666664
1979.252737850787,47.35897435897436
1979.3360711841206,43.62820512820513
1979.4194045174538,39.48717948717949
1979.502737850787,35.419871794871796
1979.5860711841206,31.72435897435897
1979.6694045174538,28.810897435897427
1979.752737850787,26.371794871794865
1979.8360711841206,24.333333333333332
1979.9194045174538,22.35897435897436
1980.002737850787,20.217948717948723
1980.0860711841206,18.525641025641026
1980.1694045174538,18.653846153846153
1980.252737850787,20.564102564102566
1980.3360711841206,23.666666666666664
1980.4194045174538,27.7948717948718
1980.502737850787,31.451923076923073
1980.5860711841206,34.07051282051282
1980.6694045174538,35.67628205128205
1980.752737850787,37.37179487179487
1980.8360711841206,39.80769230769231
1980.9194045174538,42.57692307692309
1981.002737850787,45.47435897435898
1981.0860711841206,47.858974358974365
1981.1694045174538,48.69230769230769
1981.252737850787,48.02564102564103
1981.3360711841206,47.282051282051285
1981.4194045174538,46.71794871794872
1981.502737850787,46.69230769230769
1981.5860711841206,47.179487179487175
1981.6694045174538,47.79487179487179
1981.752737850787,49.19230769230769
1981.8360711841206,50.76923076923076
1981.9194045174538,51.397435897435905
1982.002737850787,51.16666666666667
1982.0860711841206,51.12820512820513
1982.1694045174538,52.30769230769231
1982.252737850787,54.74358974358974
1982.3360711841206,57.48717948717949
1982.4194045174538,60.00000000000001
1982.502737850787,62.14102564102564
1982.5860711841206,64.55128205128206
1982.6694045174538,66.55128205128204
1982.752737850787,66.2948717948718
1982.8360711841206,65.96153846153845
1982.9194045174538,67.8974358974359
1983.002737850787,71.58974358974359
1983.0860711841206,75.6923076923077
1983.1694045174538,79.0
1983.252737850787,81.21794871794873
1983.3360711841206,82.78205128205128
1983.4194045174538,84.28846153846153
1983.502737850787,86.23076923076925
1983.5860711841206,88.39743589743593
1983.6694045174538,91.5128205128205
1983.752737850787,95.98717948717947
1983.8360711841206,99.57692307692308
1983.9194045174538,101.23076923076925
1984.002737850787,102.23076923076923
1984.0860711841206,103.15384615384613
1984.1694045174538,104.35897435897435
1984.252737850787,105.98717948717947
1984.3360711841206,107.43589743589745
1984.4194045174538,108.62179487179489
1984.502737850787,110.16666666666666
1984.5860711841206,111.97435897435896
1984.6694045174538,113.49999999999999
1984.752737850787,114.9871794871795
1984.8360711841206,116.66666666666667
1984.9194045174538,118.29487179487181
1985.002737850787,119.10256410256412
1985.0860711841206,119.37179487179489
1985.1694045174538,119.44871794871794
1985.252737850787,119.33974358974359
1985.3360711841206,119.2051282051282
1985.4194045174538,119.14102564102562
1985.502737850787,118.91025641025641
1985.5860711841206,118.8974358974359
1985.6694045174538,119.35897435897436
1985.752737850787,119.74358974358977
1985.8360711841206,120.08974358974358
1985.9194045174538,120.16666666666666
1986.002737850787,119.79487179487181
1986.0860711841206,118.74358974358975
1986.1694045174538,117.7820512820513
1986.252737850787,117.4551282051282
1986.3360711841206,117.5128205128205
1986.4194045174538,117.70512820512819
1986.502737850787,117.66666666666666
1986.5860711841206,117.28205128205127
1986.6694045174538,117.0
1986.752737850787,116.7948717948718
1986.8360711841206,116.16666666666667
1986.9194045174538,115.41025641025641
1987.002737850787,114.7051282051282
1987.0860711841206,114.26923076923079
1987.1694045174538,113.30769230769235
1987.252737850787,111.61217948717947
1987.3360711841206,109.89102564102564
1987.4194045174538,107.91666666666666
1987.502737850787,106.23717948717947
1987.5860711841206,104.95512820512819
1987.6694045174538,103.12179487179486
1987.752737850787,100.60897435897436
1987.8360711841206,98.09615384615387
1987.9194045174538,95.90384615384617
1988.002737850787,93.17307692307692
1988.0860711841206,90.09615384615383
1988.1694045174538,87.7628205128205
1988.252737850787,85.89423076923075
1988.3360711841206,83.6794871794872
1988.4194045174538,80.78205128205128
1988.502737850787,76.32051282051283
1988.5860711841206,71.37179487179488
1988.6694045174538,67.11538461538461
1988.752737850787,62.692307692307686
1988.8360711841206,58.23076923076923
1988.9194045174538,53.666666666666664
1989.002737850787,50.025641025641036
1989.0860711841206,47.39423076923076
1989.1694045174538,43.95512820512821
1989.252737850787,39.416666666666664
1989.3360711841206,34.53205128205128
1989.4194045174538,30.37820512820513
1989.502737850787,27.634615384615383
1989.5860711841206,25.442307692307697
1989.6694045174538,22.66025641025641
1989.752737850787,20.006410256410255
1989.8360711841206,17.544871794871792
1989.9194045174538,15.083333333333327
1990.002737850787,12.955128205128204
1990.0860711841206,10.637820512820516
1990.1694045174538,8.974358974358974
1990.252737850787,8.666666666666668
1990.3360711841206,9.525641025641026
1990.4194045174538,10.576923076923077
1990.502737850787,10.717948717948719
1990.5860711841206,10.025641025641024
1990.6694045174538,9.564102564102564
