 Year Mon  Area
 1900 10  138.2
 1900 11    0.7
 1900 12    0.0
 1901  1    0.2
 1901  2    6.4
 1901  3    1.0
 1901  4    0.0
 1901  5    0.0
 1901  6    7.7
 1901  7    1.0
 1901  8    0.0
 1901  9    0.0
 1901 10   14.8
 1901 11   48.3
 1901 12    0.0
 1902  1   98.0
 1902  2    0.4
 1902  3    0.3
 1902  4    0.0
 1902  5    0.0
 1902  6    0.0
 1902  7    0.0
 1902  8    0.2
 1902  9   58.6
 1902 10   75.5
 1902 11    1.1
 1902 12    0.6
 1903  1   15.4
 1903  2   40.9
 1903  3   68.6
 1903  4  220.2
 1903  5   12.0
 1903  6   28.5
 1903  7  184.8
 1903  8   76.3
 1903  9   26.2
 1903 10  961.5
 1903 11  567.7
 1903 12  282.7
 1904  1  192.7
 1904  2  124.4
 1904  3  147.2
 1904  4  612.7
 1904  5  176.3
 1904  6   78.8
 1904  7  266.3
 1904  8  397.6
 1904  9  193.2
 1904 10  210.0
 1904 11  170.3
 1904 12   66.7
 1905  1  546.5
 1905  2 1325.6
 1905  3  500.3
 1905  4  189.7
 1905  5  315.9
 1905  6  215.1
 1905  7  505.2
 1905  8  427.7
 1905  9  315.0
 1905 10   49.1
 1905 11  582.5
 1905 12  386.3
 1906  1  320.2
 1906  2   94.2
 1906  3  313.4
 1906  4  128.3
 1906  5  197.7
 1906  6  144.2
 1906  7  270.5
 1906  8  448.7
 1906  9  182.7
 1906 10   75.2
 1906 11  278.1
 1906 12  421.1
 1907  1  487.5
 1907  2 1664.9
 1907  3  572.0
 1907  4  193.9
 1907  5  452.2
 1907  6  898.0
 1907  7  673.8
 1907  8  483.7
 1907  9  525.6
 1907 10  487.3
 1907 11  215.0
 1907 12  549.7
 1908  1  296.4
 1908  2  168.6
 1908  3  163.0
 1908  4  684.4
 1908  5  333.5
 1908  6  515.4
 1908  7  248.3
 1908  8 1037.4
 1908  9  641.2
 1908 10  184.3
 1908 11  110.2
 1908 12  189.0
 1909  1  373.7
 1909  2  480.4
 1909  3  344.4
 1909  4  346.5
 1909  5  423.8
 1909  6  256.3
 1909  7   57.5
 1909  8   84.1
 1909  9  764.4
 1909 10  680.4
 1909 11  496.3
 1909 12  426.5
 1910  1  270.2
 1910  2  624.9
 1910  3  121.5
 1910  4   35.1
 1910  5  255.3
 1910  6   92.0
 1910  7   57.9
 1910  8  181.7
 1910  9  432.9
 1910 10  297.2
 1910 11    9.3
 1910 12   37.0
 1911  1   39.3
 1911  2   59.9
 1911  3   42.2
 1911  4  213.7
 1911  5   64.9
 1911  6    1.4
 1911  7    1.6
 1911  8   22.4
 1911  9    0.9
 1911 10    0.0
 1911 11   56.9
 1911 12   10.5
 1912  1    0.0
 1912  2    0.0
 1912  3   57.4
 1912  4   87.5
 1912  5   21.0
 1912  6   83.6
