 Year Mon  Area
 1900 11   10.9
 1900 12    0.0
 1901  1    0.0
 1901  2    0.0
 1901  3   12.3
 1901  4    0.0
 1901  5  208.5
 1901  6   33.8
 1901  7    0.0
 1901  8    0.0
 1901  9    0.2
 1901 10    0.0
 1901 11    0.0
 1901 12    0.0
 1902  1    0.2
 1902  2    0.0
 1902  3  179.5
 1902  4    0.0
 1902  5   36.1
 1902  6    5.9
 1902  7    0.3
 1902  8    2.1
 1902  9   17.5
 1902 10   85.9
 1902 11  148.5
 1902 12    2.9
 1903  1   14.5
 1903  2   89.0
 1903  3  121.2
 1903  4  116.1
 1903  5   72.1
 1903  6   77.4
 1903  7   92.5
 1903  8   36.5
 1903  9   58.2
 1903 10  243.2
 1903 11  343.6
 1903 12  314.0
 1904  1  219.0
 1904  2  221.1
 1904  3  228.6
 1904  4  288.7
 1904  5   91.7
 1904  6  251.7
 1904  7  245.0
 1904  8  178.5
 1904  9   61.4
 1904 10  424.9
 1904 11  300.2
 1904 12  711.2
 1905  1  554.1
 1905  2  657.8
 1905  3  797.4
 1905  4  218.7
 1905  5  351.7
 1905  6  436.2
 1905  7 1080.1
 1905  8  731.8
 1905  9  381.2
 1905 10 2011.3
 1905 11 1363.8
 1905 12  407.4
 1906  1  416.3
 1906  2  300.9
 1906  3  744.0
 1906  4  559.6
 1906  5  907.8
 1906  6  605.2
 1906  7 1176.5
 1906  8  289.8
 1906  9  333.6
 1906 10   23.5
 1906 11  282.7
 1906 12  785.9
 1907  1  709.2
 1907  2  788.1
 1907  3  237.0
 1907  4  507.0
 1907  5  156.1
 1907  6   51.4
 1907  7  208.7
 1907  8  340.8
 1907  9  884.6
 1907 10  706.1
 1907 11  859.6
 1907 12  453.1
 1908  1  210.8
 1908  2  101.8
 1908  3   54.9
 1908  4   22.8
 1908  5  175.3
 1908  6  115.4
 1908  7  102.5
 1908  8  713.0
 1908  9 1060.2
 1908 10  185.0
 1908 11  607.4
 1908 12  449.1
 1909  1  818.8
 1909  2  293.9
 1909  3  682.2
 1909  4  124.3
 1909  5   79.3
 1909  6   26.4
 1909  7  506.0
 1909  8   44.8
 1909  9   37.3
 1909 10  186.5
 1909 11  297.8
 1909 12  466.8
 1910  1  111.6
 1910  2    7.9
 1910  3  165.9
 1910  4   34.9
 1910  5   71.5
 1910  6   26.4
 1910  7  128.5
 1910  8    0.0
 1910  9    1.6
 1910 10  214.5
 1910 11   14.4
 1910 12    0.0
 1911  1    0.0
 1911  2   28.6
 1911  3   28.4
 1911  4   46.3
 1911  5   36.9
 1911  6   28.6
 1911  7    9.9
 1911  8    5.3
 1911  9   52.2
 1911 10   17.9
 1911 11    0.4
 1911 12    4.9
 1912  1    0.0
 1912  2    0.0
 1912  3    0.0
 1912  4    0.8
 1912  5    0.4
 1912  6    0.8
 1912  7    0.0
 1912  8    0.0
 1912  9    0.0
 1912 10    0.0
 1912 11    0.0
 1912 12    7.5
 1913  1    8.3
 1913  2   23.2
 1913  3    0.0
 1913  4    0.0
 1913  5    0.0
 1913  6    0.0
 1913  7    6.8
 1913  8    0.0
 1913  9    3.6
 1913 10   14.8
 1913 11    0.0
 1913 12    4.0
 1914  1    6.5
 1914  2    0.6
 1914  3   38.5
 1914  4  261.7
 1914  5   67.6
 1914  6   17.3
 1914  7    0.2
 1914  8  288.1
 1914  9  211.8
 1914 10   28.4
 1914 11  144.2
 1914 12  124.8
 1915  1  274.1
 1915  2  328.0
 1915  3  297.0
 1915  4  754.2
 1915  5  463.3
 1915  6  543.7
 1915  7  248.5
 1915  8  356.2
 1915  9  501.9
 1915 10  429.2
 1915 11  200.9
 1915 12  165.0
 1916  1  315.4
 1916  2  241.0
 1916  3  534.9
 1916  4  513.1
 1916  5  444.4
 1916  6  844.6
 1916  7  540.2
 1916  8  305.6
 1916  9  384.0
 1916 10  606.8
 1916 11  387.3
 1916 12  523.1
 1917  1  911.1
 1917  2  206.0
 1917  3  781.4
 1917  4  662.7
 1917  5  558.2
 1917  6  945.9
 1917  7 1058.0
 1917  8 1969.5
 1917  9 1025.5
 1917 10  402.3
 1917 11  491.0
 1917 12 1231.3
 1918  1  844.6
 1918  2  593.6
 1918  3  545.8
 1918  4  560.7
 1918  5  528.4
 1918  6  331.8
 1918  7  868.9
 1918  8 1164.7
 1918  9  434.3
 1918 10  826.2
 1918 11  540.2
 1918 12   60.3
 1919  1  326.2
 1919  2 1190.7
 1919  3  797.8
 1919  4  335.6
 1919  5 1030.4
 1919  6  896.4
 1919  7  211.8
 1919  8  475.7
 1919  9  368.4
 1919 10  386.5
 1919 11  562.6
 1919 12  202.8
 1920  1  158.1
 1920  2  265.5
 1920  3  327.3
 1920  4   60.7
 1920  5  207.1
 1920  6  432.0
 1920  7  213.1
 1920  8   58.0
 1920  9  155.4
 1920 10  296.9
 1920 11  102.2
 1920 12  217.4
 1921  1   87.7
 1921  2   13.4
 1921  3  280.9
 1921  4  329.9
 1921  5  481.1
 1921  6  273.9
 1921  7  340.5
 1921  8  140.0
 1921  9  267.1
 1921 10  304.5
 1921 11  255.7
 1921 12  227.6
 1922  1   19.7
 1922  2  253.5
 1922  3  984.3
 1922  4   83.9
 1922  5  123.7
 1922  6   10.0
 1922  7   12.0
 1922  8   24.8
 1922  9    1.0
 1922 10   16.0
 1922 11    4.5
 1922 12  386.0
 1923  1   91.8
 1923  2    1.4
 1923  3   15.7
 1923  4    6.4
 1923  5   15.1
 1923  6   62.2
 1923  7   27.7
 1923  8    0.5
 1923  9   41.2
 1923 10   30.5
 1923 11   73.2
 1923 12   25.7
 1924  1    1.3
 1924  2   66.4
 1924  3   32.1
 1924  4   20.4
 1924  5  107.1
 1924  6  414.6
 1924  7  353.8
 1924  8  352.6
 1924  9  380.0
 1924 10  345.4
 1924 11  607.0
 1924 12  123.2
 1925  1   31.6
 1925  2   68.9
 1925  3  103.9
 1925  4  231.2
 1925  5  649.8
 1925  6  455.8
 1925  7  129.5
 1925  8  302.7
 1925  9  472.0
 1925 10  516.6
 1925 11 1028.8
 1925 12 2174.1
 1926  1 1960.1
 1926  2  535.2
 1926  3  345.4
 1926  4  206.5
 1926  5  235.4
 1926  6  976.3
 1926  7  331.7
 1926  8  130.1
 1926  9  989.6
 1926 10 1079.0
 1926 11  267.4
 1926 12  879.3
 1927  1  756.8
 1927  2  397.8
 1927  3  590.2
 1927  4  594.1
 1927  5  383.5
 1927  6  565.6
 1927  7  350.9
 1927  8  122.7
 1927  9  151.7
 1927 10  232.3
 1927 11  206.1
 1927 12  195.9
 1928  1  795.7
 1928  2  506.7
 1928  3  924.8
 1928  4  442.5
 1928  5  252.6
 1928  6  889.3
 1928  7 1044.5
 1928  8  749.2
 1928  9 1198.1
 1928 10  763.2
 1928 11  366.8
 1928 12  777.8
 1929  1  714.6
 1929  2  190.1
 1929  3  218.8
 1929  4  530.7
 1929  5  530.4
 1929  6  448.7
 1929  7  188.0
 1929  8  152.7
 1929  9   97.9
 1929 10  731.1
 1929 11 1737.1
 1929 12 2267.5
 1930  1  831.6
 1930  2  292.2
 1930  3  159.7
 1930  4  331.5
 1930  5  328.1
 1930  6  185.4
 1930  7   84.5
 1930  8   96.9
 1930  9  277.6
 1930 10  462.0
 1930 11  243.1
 1930 12  140.0
 1931  1  152.5
 1931  2  666.0
 1931  3  345.7
 1931  4  341.2
 1931  5  158.9
 1931  6  164.7
 1931  7   47.4
 1931  8   36.8
 1931  9  108.2
 1931 10   23.6
 1931 11  239.2
 1931 12  166.1
 1932  1   47.7
 1932  2  114.6
 1932  3  141.8
 1932  4  185.7
 1932  5  273.3
 1932  6  243.0
 1932  7    6.0
 1932  8    0.1
 1932  9    2.7
 1932 10   70.3
 1932 11  120.4
 1932 12  266.3
 1933  1  179.8
 1933  2  606.5
 1933  3  162.3
 1933  4   15.4
 1933  5   15.3
 1933  6   37.4
 1933  7   11.3
 1933  8    0.1
 1933  9    4.0
 1933 10   36.8
 1933 11    4.3
 1933 12    0.7
 1934  1   42.8
 1934  2   54.4
 1934  3    1.2
 1934  4   11.9
 1934  5  106.2
 1934  6   94.4
 1934  7  101.5
 1934  8    8.4
 1934  9   18.3
 1934 10   10.4
 1934 11   56.5
 1934 12   25.5
 1935  1   47.4
 1935  2   67.5
 1935  3   89.1
 1935  4   23.9
 1935  5   53.0
 1935  6   96.4
 1935  7  142.1
 1935  8  309.5
 1935  9  403.2
 1935 10  576.5
 1935 11  520.5
 1935 12  110.7
 1936  1  561.3
 1936  2  410.1
 1936  3  272.9
 1936  4  421.1
 1936  5  118.0
 1936  6  436.3
 1936  7  390.5
 1936  8  440.3
 1936  9  280.6
 1936 10  579.7
 1936 11  623.9
 1936 12 1016.4
 1937  1  795.0
 1937  2 1463.5
 1937  3  899.2
 1937  4 1575.1
 1937  5 1379.8
 1937  6 1541.6
 1937  7 2320.6
 1937  8 1646.4
 1937  9 1353.1
 1937 10 1816.9
 1937 11  295.8
 1937 12  705.9
 1938  1 2064.5
 1938  2  563.8
 1938  3  362.6
